label,precision,recall,f1,support
admiration,0.684404,0.740079,0.711153,504
amusement,0.757764,0.924242,0.832765,264
anger,0.552326,0.479798,0.513514,198
annoyance,0.293249,0.434375,0.350126,320
approval,0.394009,0.487179,0.435669,351
caring,0.36,0.466667,0.406452,135
confusion,0.390476,0.535948,0.451791,153
curiosity,0.458696,0.742958,0.567204,284
disappointment,0.302083,0.384106,0.338192,151
disapproval,0.390671,0.501873,0.439344,267
disgust,0.593023,0.414634,0.488038,123
excitement,0.533333,0.38835,0.449438,103
fear,0.619565,0.730769,0.670588,78
gratitude,0.94864,0.892045,0.919473,352
joy,0.661765,0.559006,0.606061,161
love,0.725753,0.911765,0.808194,238
neutral,0.618905,0.809737,0.701576,1787
optimism,0.661017,0.419355,0.513158,186
remorse,0.556962,0.785714,0.651852,56
sadness,0.483721,0.666667,0.560647,156
surprise,0.583851,0.666667,0.622517,141
